sec,floor,apt,step
226,8,2,Boya
226,8,3,Asansörde Mobilya taşıma
227,8,1,Asansörde Fayans ve parkeler döşeme
227,8,3,Final kontrol
228,9,0,Vinçte dış duvar
229,8,2,Asansörde Fayans ve parkeler döşeme
229,8,1,Asansörde Mobilya taşıma
230,8,1,Final kontrol
231,8,2,Asansörde Mobilya taşıma
231,9,1,Vinçte dış duvar
232,8,2,Final kontrol
234,9,2,Vinçte dış duvar
237,9,3,Vinçte dış duvar
240,9,3,"Dış-iskelet tamam, iç dekora geçiliyor"
240,9,3,Elektrik-su hattı döşeme
240,9,0,"Dış-iskelet tamam, iç dekora geçiliyor"
240,9,1,"Dış-iskelet tamam, iç dekora geçiliyor"
240,9,2,"Dış-iskelet tamam, iç dekora geçiliyor"
242,9,3,Sıva
242,9,0,Elektrik-su hattı döşeme
243,9,3,Boya
244,9,0,Sıva
244,9,1,Elektrik-su hattı döşeme
246,9,3,Asansörde Fayans ve parkeler döşeme
246,9,0,Boya
246,9,1,Sıva
246,9,2,Elektrik-su hattı döşeme
248,9,2,Sıva
248,9,3,Asansörde Mobilya taşıma
249,9,2,Boya
249,9,0,Asansörde Fayans ve parkeler döşeme
249,9,1,Boya
249,9,3,Final kontrol
251,9,2,Asansörde Fayans ve parkeler döşeme
251,9,0,Asansörde Mobilya taşıma
251,9,1,Asansörde Fayans ve parkeler döşeme
252,9,0,Final kontrol
253,9,2,Asansörde Mobilya taşıma
253,9,1,Asansörde Mobilya taşıma
254,9,2,Final kontrol
255,9,1,Final kontrol
